student_id,attention_score,confusion_score,boredom_score,cognitive_overload_score,lstm_prediction,gru_prediction,cnn_prediction,ensemble_prediction,risk_category
79,16.701984,83.29802,26.666666666666668,95.0,0.9737055,0.9784176,0.5468174,0.83298016,High Risk
81,87.37643,12.623574,10.0,39.0,0.249891,0.12878653,2.9652263e-05,0.12623574,Low Risk
82,77.06077,22.939228,28.57142857142857,90.47619047619048,0.26834717,0.41982967,0.0,0.22939229,Low Risk
85,39.76508,60.23492,28.57142857142857,67.85714285714286,0.76701987,0.8249667,0.2150609,0.6023492,Moderate Risk
91,95.42311,4.576892,0.0,60.63829787234043,0.045320973,0.09198578,0.0,0.045768917,Low Risk
92,95.64853,4.3514743,2.272727272727273,34.09090909090909,0.06169084,0.06885339,0.0,0.043514743,Low Risk
93,81.71026,18.289738,22.0,52.0,0.22224444,0.32643855,9.1113125e-06,0.18289737,Low Risk
95,93.9884,6.0115914,0.0,54.0,0.07091795,0.10942979,0.0,0.060115915,Low Risk
96,58.616352,41.38365,10.526315789473683,71.05263157894737,0.48159823,0.71064264,0.049268752,0.4138365,Moderate Risk
100,83.60096,16.39904,4.0,27.0,0.15610458,0.3358666,0.0,0.1639904,Low Risk
102,84.89663,15.103372,4.0,61.0,0.16449082,0.17833959,0.110270746,0.15103371,Low Risk
103,34.909557,65.09044,33.33333333333333,81.66666666666667,0.9838932,0.96882004,7.425796e-21,0.6509044,Moderate Risk
108,18.560045,81.43996,33.33333333333333,88.33333333333333,0.91708905,0.9746935,0.5514163,0.81439954,High Risk
109,19.672394,80.32761,30.0,98.33333333333334,0.9651133,0.9787135,0.46600148,0.80327606,High Risk
110,81.25914,18.740858,9.090909090909092,63.63636363636363,0.30407247,0.19671348,0.06143984,0.18740858,Low Risk
117,25.592964,74.407036,3.3333333333333335,86.66666666666667,0.8872294,0.9079848,0.43699703,0.74407035,High Risk
120,80.97609,19.023907,22.22222222222222,72.22222222222221,0.25934446,0.15781595,0.15355685,0.19023907,Low Risk
121,82.63893,17.36107,3.3333333333333335,46.666666666666664,0.015824065,0.058997944,0.4460101,0.1736107,Low Risk
125,93.47094,6.5290647,12.0,50.0,0.037447143,0.098608024,0.059816763,0.065290645,Low Risk
127,95.79006,4.2099366,2.0,43.0,0.016928222,0.036025286,0.073344596,0.042099368,Low Risk
130,98.96745,1.0325497,0.0,36.66666666666667,0.016481401,0.011664495,0.0028305964,0.010325498,Low Risk
132,72.29799,27.702013,54.54545454545454,95.45454545454545,0.39745533,0.3647451,0.06885988,0.27702013,Low Risk
133,87.40679,12.593213,20.0,60.0,0.2123315,0.15745234,0.008012547,0.12593213,Low Risk
138,53.80268,46.197315,35.714285714285715,67.85714285714286,0.23111081,0.17652205,0.97828656,0.46197316,Moderate Risk
141,89.56535,10.434643,9.090909090909092,45.45454545454546,0.10820914,0.056058437,0.14877173,0.10434643,Low Risk
147,70.59469,29.405313,4.0,64.99999999999999,0.40289825,0.38063785,0.09862334,0.29405314,Low Risk
148,85.04265,14.957351,0.0,62.857142857142854,0.07383439,0.17218782,0.20269829,0.1495735,Low Risk
152,83.92576,16.07424,9.090909090909092,63.63636363636363,0.2645019,0.14470588,0.07301946,0.1607424,Low Risk
153,71.5837,28.4163,3.3333333333333335,50.0,0.119286515,0.2774642,0.45573825,0.284163,Low Risk
154,89.83256,10.167441,11.11111111111111,33.333333333333336,0.17098339,0.10915916,0.024880704,0.101674415,Low Risk
156,77.167984,22.832018,40.0,80.0,0.327349,0.2413729,0.11623865,0.22832018,Low Risk
157,97.16622,2.833777,10.0,45.0,0.04104573,0.04396758,3.0947166e-29,0.02833777,Low Risk
